,coco,dalle2,dalle3,firefly,midjourneyV5,midjourneyV6,sdxl,stable_diffusion_1_5
dalle2,0.9817176806926727,0.016966435099893717,0.959370681643486,0.7299477199465036,0.9266472797095776,0.9335032062232494,0.794025344774127,0.8871324306726456
dalle3,0.9974847829341889,0.9477655830979347,0.005485300153134345,0.9477635005116463,0.7398988262168131,0.7877863025385886,0.8886912316456437,0.9374221050739289
firefly,0.9854442590475082,0.49390399492797754,0.8545943211019039,0.00596789689382699,0.8127357637137175,0.8180166421085596,0.3368462716358877,0.6454602315006196
midjourneyV5,0.9867895764112472,0.8789876545220614,0.49466527920449155,0.8365526276826859,0.00287890489437693,0.28952514484595215,0.7175915740091341,0.9380350296199321
midjourneyV6,0.9870346342865378,0.9360700029879808,0.3146012616680603,0.9631666395626962,0.18213751661106098,0.015533613969706095,0.8879406222561375,0.9578070679120719
sdxl,0.9922348231077194,0.7147024143260984,0.838336022272706,0.5126648548528465,0.8011835929087829,0.7486083215568214,0.008390223327541326,0.716137919856701
stable_diffusion_1_5,0.9368745315074921,0.4151123995705436,0.3284097156513235,0.2094256816102154,0.513787430132295,0.6458791004971135,0.09352571711116006,0.017349232341400973
