,coco,dalle2,dalle3,firefly,midjourneyV5,midjourneyV6,sdxl,stable_diffusion_1_5
dalle2,0.018282320396359637,0.9830335703492165,0.040629315045089244,0.27005228349706156,0.07335272221755076,0.06649679145253685,0.2059746512244601,0.11286757503032277
dalle3,0.002515219629807759,0.052234412444389804,0.9945146977901459,0.05223650015847928,0.26010117186492804,0.21221370471415577,0.11130876833319128,0.06257790084590477
firefly,0.014555744959958568,0.5060960007083145,0.14540568294315065,0.9940320986509323,0.18726423682360405,0.18198336199098236,0.6631537213565025,0.3545397636007284
midjourneyV5,0.013210421588967307,0.12101234526885037,0.5053347238359857,0.16344737051607808,0.9971210920810699,0.7104748547822237,0.2824084257069262,0.061964969482833115
midjourneyV6,0.012965364105489364,0.06392999315063828,0.6853987453359878,0.036833353518196194,0.817862475371876,0.9844663831591606,0.11205937918333549,0.042192934794936375
sdxl,0.007765177891984027,0.28529758876102734,0.16166397745624322,0.4873351456559158,0.1988164085227436,0.251391684711175,0.9916097772121429,0.28386208111945505
stable_diffusion_1_5,0.0631254676416708,0.5848876001406461,0.6715902904663744,0.7905743215131225,0.4862125671122999,0.3541209012080799,0.9064742830395699,0.9826507665216923
